Site,ll,Fa
WSB,0.056785,0.742374415
WSB,0.034035,0.82316137
WSB,0.043425,0.847698697
WSB,0.045225,0.860497847
WSB,0.026905,0.903368081
WSB,0.046065,0.834288648
WSB,0.036415,0.801832422
WSB,0.038155,0.813577012
WSB,0.031005,0.85961563
WSB,0.035175,0.807039987
WSB,0.05172,0.670655787
WSB,0.05597,0.674764633
WSB,0.040575,0.77296328
WSB,0.043605,0.747808723
WSB,0.036955,0.794891453
WSB,0.049885,0.737867874
WSB,0.0565,0.854764166
WSB,0.03118,0.85154241
WSB,0.056785,0.742374415
WSB,0.026795,0.881765132
WSB,0.03019,0.869939369
WSB,0.030155,0.85874987
WSB,0.03018,0.854876688
WSB,0.04006,0.762537832
WSB,0.03001,0.858543759
WSB,0.03394,0.816139801
WSB,0.03258,0.838123799
WSB,0.02974,0.867996509
WSB,0.03296,0.840350393
WSB,0.028305,0.87093446
WSB,0.02728,0.85886908
WSB,0.032605,0.865019641
WSB,0.037075,0.854482254
WSB,0.03069,0.89846129
WSB,0.02931,0.878635246
WSB,0.03219,0.882880254
WSB,0.031205,0.846444341
WSB,0.05172,0.670655787
WSB,0.04342,0.782008869
WSB,0.04088,0.791109224
WSB,0.04742,0.819348106
WSB,0.045025,0.778968203
WSB,0.028315,0.909901663
WSB,0.038295,0.856131025
WSB,0.06221,0.84983324
WSB,0.03637,0.819101926
WSB,0.04742,0.819348106
WSB,0.045025,0.778968203
WSB,0.03794,0.88369936
WSB,0.02896,0.902177137
WSB,0.03211,0.849754563
WSB,0.039275,0.851709408
WSB,0.0512,0.62701416
WSB,0.058555,0.570886612
WSB,0.05113,0.633473869
WSB,0.05597,0.674764633
WSB,0.048785,0.720846429
WSB,0.05113,0.633473869
WSB,0.064705,0.522460938
WSB,0.06238,0.625091553
WSB,0.07406,0.714099789
WSB,0.053855,0.647167206
WSB,0.05146,0.619241068
WSB,0.05597,0.674764633
WSB,0.056235,0.693377689
WSB,0.05699,0.672638136
WSB,0.053855,0.647167206
WSB,0.04109,0.716109702
WSB,0.0512,0.62701416
WSB,0.044115,0.743892998
WSB,0.056645,0.759195482
WSB,0.04705,0.693766788
WSB,0.039305,0.794772543
WSB,0.075355,0.765422327
WSB,0.041895,0.760766311
WSB,0.040575,0.77296328
WSB,0.048345,0.721706266
WSB,0.037905,0.790292525
