FemaleID,MaleID,pairID,Year,FemaleAge,MaleAge,Fpair,Site,Fledged,Survived,Fmale,Ffemale,ll,Fa
68036,68007,B68036B68007,1992-93,1,1,0.4609375,WSB,1,1,0.27734375,0.27734375,0.078375,0.659733176
41468,66143,B41468B66143,1993-94,6,2,0.365234375,MGR,1,0,0.388671875,0.375,0.0461,0.728773272
41474,41455,B41474B41455,1993-94,6,6,0.328125,WSB,2,2,0.4375,0.3203125,0.053855,0.647167206
41500,66169,B41500B66169,1993-94,5,3,0.299560547,TPB,2,0,0.29296875,0.318359375,0.04109,0.716109702
43207,41443,B43207B41443,1993-94,5,6,0.28515625,WSB,1,0,0.4375,0.34375,0.0512,0.62701416
43227,43236,B43227B43236,1993-94,5,5,0.29296875,TPB,2,0,0.25,0.296875,0.051205,0.595632851
43234,67557,B43234B67557,1993-94,5,2,0.48828125,WSB,2,1,0.30859375,0.3359375,0.075355,0.765422327
43242,45247,B43242B45247,1993-94,5,4,0.373046875,WSB,2,1,0.27734375,0.3125,0.063005,0.60997051
44872,41452,B44872B41452,1993-94,7,6,0.484375,WSB,1,1,0.28125,0.375,0.097365,0.555648804
45205,66137,B45205B66137,1993-94,4,3,0.357421875,MGR,1,1,0.32421875,0.34375,0.05172,0.670655787
66114,66188,B66114B66188,1993-94,4,3,0.299316406,TPB,3,1,0.3125,0.3046875,0.04074,0.722706689
66124,45206,B66124B45206,1993-94,4,4,0.307128906,MGR,2,2,0.326171875,0.296875,0.05146,0.619241068
66126,41484,B66126B41484,1993-94,4,5,0.287109375,TPB,2,1,0.3125,0.33203125,0.04942,0.632719398
66134,44895,B66134B44895,1993-94,3,4,0.388671875,MGR,2,2,0.3046875,0.453125,0.05597,0.674764633
66162,43210,B66162B43210,1993-94,3,5,0.5703125,TPB,3,0,0.4375,0.4375,0.07755,0.742370605
67504,66161,B67504B66161,1993-94,3,3,0.318847656,WSB,2,0,0.322265625,0.2890625,0.04042,0.745353397
67504,68039,B67504B68039,1993-94,3,2,0.352294922,WSB,1,0,0.310058594,0.2890625,0.03981,0.78053388
67513,41481,B67513B41481,1993-94,3,5,0.323242188,TPB,2,0,0.34375,0.29296875,0.04923,0.657905832
67540,67527,B67540B67527,1993-94,1,1,0.383789063,WSB,1,1,0.38671875,0.3046875,0.0501,0.7190184
67542,67526,B67542B67526,1993-94,1,1,0.354003906,WSB,1,1,0.38671875,0.295898438,0.041895,0.760766311
67544,67502,B67544B67502,1993-94,1,3,0.296875,WSB,2,1,0.25,0.373046875,0.050115,0.634570834
67546,67539,B67546B67539,1993-94,1,1,0.3515625,WSB,2,1,0.3046875,0.36328125,0.04448,0.745109404
67564,67549,B67564B67549,1993-94,1,1,0.298339844,WSB,1,0,0.303710938,0.29296875,0.03911,0.738316209
67566,67574,B67566B67574,1993-94,1,1,0.326660156,WSB,3,0,0.28125,0.299316406,0.04535,0.709828882
67577,67530,B67577B67530,1993-94,1,1,0.307128906,TPB,1,1,0.29296875,0.5703125,0.03504,0.801699829
68013,66163,B68013B66163,1993-94,2,3,0.388671875,WSB,2,2,0.3046875,0.2890625,0.056235,0.693377689
68027,41487,B68027B41487,1993-94,2,5,0.295898438,WSB,2,1,0.265625,0.33203125,0.048015,0.64700681
